Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;3696 - Taxa de câmbio - Livre - Dólar americano (venda) - Fim de período - mensal - u.m.c./US$;4390 - Taxa de juros - Selic acumulada no mês - % a.m.;Índice Geral de Preços - IGP-M(200045);IGP-M - Fechamento mensal (%)(1000367);INCC-M - Fechamento mensal (%)(1000370);IPA-M - Fechamento mensal (% mês)  (1478707);IPAEP-M Ipa - todos os itens - Nro. Índice(1473921);IPC/BR-M - Fechamento Mensal - % (POF 2017/2018). Vigência a partir de 01/2020(1448925)
04/2006;0.21;2.0892;1.08;335.921;-0.42;0.21;-0.77;362.265;0.22
05/2006;0.1;2.3005;1.28;337.185;0.38;0.81;0.43;363.827;0.07
06/2006;-0.21;2.1643;1.18;339.712;0.75;1.45;1.11;367.852;-0.44
07/2006;0.19;2.1762;1.17;340.312;0.18;0.57;0.21;368.638;-0.08
08/2006;0.05;2.1388;1.26;341.574;0.37;0.35;0.46;370.351;0.13
09/2006;0.21;2.1742;1.06;342.561;0.29;0.09;0.36;371.698;0.18
10/2006;0.33;2.143;1.09;344.155;0.47;0.18;0.65;374.104;0.1
11/2006;0.31;2.1668;1.02;346.746;0.75;0.23;1.02;377.909;0.27
12/2006;0.48;2.138;0.99;347.842;0.32;0.3;0.29;379.0;0.39
01/2007;0.44;2.1247;1.08;349.593;0.5;0.45;0.4;380.498;0.81
02/2007;0.44;2.1182;0.87;350.524;0.27;0.26;0.21;381.281;0.43
03/2007;0.37;2.0504;1.05;351.717;0.34;0.17;0.33;382.52;0.45
04/2007;0.25;2.0339;0.94;351.869;0.04;0.43;-0.14;381.978;0.37
05/2007;0.28;1.9289;1.03;352.02;0.04;0.55;-0.09;381.623;0.2
06/2007;0.28;1.9262;0.91;352.936;0.26;1.67;0.01;381.652;0.35
07/2007;0.24;1.8776;0.97;353.92;0.28;0.21;0.26;382.663;0.34
08/2007;0.47;1.962;0.99;357.404;0.98;0.35;1.31;387.684;0.39
09/2007;0.18;1.8389;0.8;361.997;1.29;0.39;1.83;394.796;0.21
10/2007;0.3;1.744;0.93;365.794;1.05;0.49;1.42;400.413;0.28
11/2007;0.38;1.7837;0.84;368.334;0.69;0.48;0.97;404.293;0.04
12/2007;0.74;1.7713;0.84;374.815;1.76;0.43;2.36;413.838;0.67
01/2008;0.54;1.7603;0.93;378.9;1.09;0.41;1.24;418.951;0.96
02/2008;0.49;1.6833;0.8;380.906;0.53;0.43;0.64;421.637;0.26
03/2008;0.48;1.7491;0.84;383.731;0.74;0.59;0.96;425.692;0.19
04/2008;0.55;1.6872;0.9;386.38;0.69;0.82;0.65;428.446;0.76
05/2008;0.79;1.6294;0.88;392.592;1.61;1.1;2.01;437.076;0.68
06/2008;0.74;1.5919;0.96;400.382;1.98;2.67;2.27;446.997;0.89
07/2008;0.53;1.5666;1.07;407.446;1.76;1.42;2.2;456.843;0.65
08/2008;0.28;1.6344;1.02;406.127;-0.32;1.27;-0.74;453.457;0.23
09/2008;0.26;1.9143;1.1;406.557;0.11;0.95;0.04;453.642;-0.06
10/2008;0.45;2.1153;1.18;410.524;0.98;0.85;1.24;459.286;0.25
11/2008;0.36;2.3331;1.02;412.104;0.38;0.65;0.3;460.656;0.52
12/2008;0.28;2.337;1.12;411.575;-0.13;0.22;-0.42;458.704;0.58
01/2009;0.48;2.3162;1.05;409.782;-0.44;0.26;-0.95;454.348;0.75
02/2009;0.55;2.3784;0.86;410.849;0.26;0.35;0.2;455.254;0.4
03/2009;0.2;2.3152;0.97;407.808;-0.74;-0.17;-1.24;449.612;0.43
04/2009;0.48;2.1783;0.84;407.181;-0.15;-0.01;-0.44;447.644;0.58
05/2009;0.47;1.973;0.77;406.885;-0.07;0.25;-0.3;446.296;0.42
06/2009;0.36;1.9516;0.76;406.486;-0.1;1.53;-0.45;444.299;0.17
07/2009;0.24;1.8726;0.79;404.718;-0.43;0.37;-0.85;440.538;0.34
08/2009;0.15;1.8864;0.69;403.253;-0.36;0.01;-0.61;437.834;0.16
09/2009;0.24;1.7781;0.69;404.945;0.42;0.07;0.53;440.137;0.28
10/2009;0.28;1.744;0.69;405.129;0.05;0.13;0.04;440.301;0.03
11/2009;0.41;1.7505;0.66;405.548;0.1;0.18;0.08;440.633;0.14
12/2009;0.37;1.7412;0.73;404.499;-0.26;0.2;-0.5;438.409;0.2
01/2010;0.75;1.8748;0.66;407.049;0.63;0.52;0.51;440.644;1.0
02/2010;0.78;1.811;0.59;411.843;1.18;0.35;1.42;446.906;0.88
03/2010;0.52;1.781;0.76;415.734;0.94;0.45;1.07;451.673;0.83
04/2010;0.57;1.7306;0.67;418.917;0.77;1.17;0.72;454.912;0.73
05/2010;0.43;1.8167;0.75;423.885;1.19;0.93;1.49;461.683;0.49
06/2010;0.0;1.8015;0.79;427.489;0.85;1.77;1.09;466.708;-0.18
07/2010;0.01;1.7572;0.86;428.15;0.15;0.62;0.2;467.647;-0.17
08/2010;0.04;1.756;0.89;431.445;0.77;0.22;1.24;473.428;-0.27
09/2010;0.45;1.6942;0.85;436.423;1.15;0.2;1.6;480.998;0.34
10/2010;0.75;1.7014;0.81;440.829;1.01;0.15;1.3;487.261;0.56
11/2010;0.83;1.7161;0.81;447.206;1.45;0.36;1.84;496.219;0.81
12/2010;0.63;1.6662;0.93;450.301;0.69;0.59;0.63;499.341;0.92
01/2011;0.83;1.6734;0.86;453.875;0.79;0.37;0.76;503.115;1.08
02/2011;0.8;1.6612;0.84;458.397;1.0;0.39;1.2;509.166;0.67
03/2011;0.79;1.6287;0.92;461.249;0.62;0.44;0.65;512.468;0.62
04/2011;0.77;1.5733;0.84;463.311;0.45;0.75;0.29;513.934;0.78
05/2011;0.47;1.5799;0.99;465.311;0.43;2.03;0.03;514.071;0.9
06/2011;0.15;1.5611;0.96;464.463;-0.18;1.43;-0.45;511.759;-0.12
07/2011;0.16;1.5563;0.97;463.927;-0.12;0.59;-0.22;510.627;-0.13
08/2011;0.37;1.5872;1.07;465.968;0.44;0.16;0.57;513.523;0.21
09/2011;0.53;1.8544;0.94;468.975;0.65;0.14;0.74;517.344;0.59
10/2011;0.43;1.6885;0.88;471.466;0.53;0.2;0.68;520.849;0.26
11/2011;0.52;1.8109;0.86;473.808;0.5;0.5;0.52;523.561;0.43
12/2011;0.5;1.8758;0.91;473.252;-0.12;0.35;-0.48;521.035;0.71
01/2012;0.56;1.7391;0.89;474.429;0.25;0.67;-0.07;520.647;0.97
02/2012;0.45;1.7092;0.75;474.138;-0.06;0.42;-0.26;519.308;0.27
03/2012;0.21;1.8221;0.82;476.166;0.43;0.37;0.42;521.478;0.48
04/2012;0.64;1.8918;0.71;480.229;0.85;0.83;0.97;526.519;0.55
05/2012;0.36;2.0223;0.74;485.14;1.02;1.3;1.17;532.689;0.49
06/2012;0.08;2.0213;0.64;488.342;0.66;1.31;0.74;536.606;0.17
07/2012;0.43;2.0499;0.68;494.891;1.34;0.85;1.81;546.315;0.25
08/2012;0.41;2.0372;0.69;501.957;1.43;0.32;1.99;557.18;0.33
09/2012;0.57;2.0306;0.54;506.804;0.97;0.21;1.25;564.133;0.49
10/2012;0.59;2.0313;0.61;506.926;0.02;0.24;-0.2;563.007;0.58
11/2012;0.6;2.1074;0.55;506.795;-0.03;0.23;-0.19;561.939;0.33
12/2012;0.79;2.0435;0.55;510.252;0.68;0.29;0.73;566.018;0.73
01/2013;0.86;1.9883;0.6;511.977;0.34;0.39;0.11;566.622;0.98
02/2013;0.6;1.9754;0.49;513.467;0.29;0.8;0.21;567.808;0.3
03/2013;0.47;2.0138;0.55;514.526;0.21;0.28;0.01;567.892;0.72
04/2013;0.55;2.0017;0.61;515.276;0.15;0.84;-0.12;567.204;0.6
05/2013;0.37;2.1319;0.6;515.299;0.0;1.24;-0.3;565.478;0.33
06/2013;0.26;2.2156;0.61;519.153;0.75;1.96;0.68;569.345;0.39
07/2013;0.03;2.2903;0.72;520.508;0.26;0.73;0.3;571.066;-0.07
08/2013;0.24;2.3725;0.71;521.27;0.15;0.31;0.14;571.858;0.09
09/2013;0.35;2.23;0.71;529.085;1.5;0.43;2.11;583.926;0.27
10/2013;0.57;2.2026;0.81;533.621;0.86;0.33;1.09;590.309;0.43
11/2013;0.54;2.3249;0.72;535.168;0.29;0.27;0.17;591.291;0.65
12/2013;0.92;2.3426;0.79;538.37;0.6;0.22;0.63;595.0;0.69
01/2014;0.55;2.4263;0.85;540.959;0.48;0.7;0.31;596.851;0.87
02/2014;0.69;2.3334;0.79;543.038;0.38;0.44;0.27;598.439;0.7
03/2014;0.92;2.263;0.77;552.087;1.67;0.22;2.2;611.583;0.82
04/2014;0.67;2.236;0.82;556.42;0.78;0.67;0.79;616.426;0.82
05/2014;0.46;2.239;0.87;555.679;-0.13;1.37;-0.65;612.413;0.68
06/2014;0.4;2.2025;0.82;551.554;-0.74;1.25;-1.44;603.594;0.34
07/2014;0.01;2.2674;0.95;548.202;-0.61;0.8;-1.11;596.893;0.15
08/2014;0.25;2.2396;0.87;546.745;-0.27;0.19;-0.45;594.223;0.02
09/2014;0.57;2.451;0.91;547.839;0.2;0.16;0.13;594.97;0.42
10/2014;0.42;2.4442;0.95;549.396;0.28;0.2;0.23;596.362;0.46
11/2014;0.51;2.5601;0.84;554.769;0.98;0.3;1.26;603.849;0.53
12/2014;0.78;2.6562;0.96;558.213;0.62;0.25;0.63;607.656;0.76
01/2015;1.24;2.6623;0.94;562.482;0.76;0.7;0.56;611.074;1.35
02/2015;1.22;2.8782;0.82;564.004;0.27;0.5;-0.09;610.537;1.14
03/2015;1.32;3.208;1.04;569.536;0.98;0.36;0.92;616.157;1.42
04/2015;0.71;2.9936;0.95;576.175;1.17;0.65;1.41;624.833;0.75
05/2015;0.74;3.1788;0.99;578.516;0.41;0.45;0.3;626.699;0.68
06/2015;0.79;3.1026;1.07;582.401;0.67;1.87;0.41;629.294;0.83
07/2015;0.62;3.394;1.18;586.426;0.69;0.66;0.73;633.876;0.6
08/2015;0.22;3.6467;1.11;588.042;0.28;0.8;0.2;635.144;0.24
09/2015;0.54;3.9729;1.11;593.606;0.95;0.22;1.3;643.419;0.32
10/2015;0.82;3.8589;1.11;604.832;1.89;0.27;2.63;660.312;0.64
11/2015;1.01;3.8506;1.06;614.051;1.52;0.4;1.93;673.085;0.9
12/2015;0.96;3.9048;1.16;617.044;0.49;0.12;0.39;675.712;0.92
01/2016;1.27;4.0428;1.06;624.06;1.14;0.32;1.14;683.436;1.48
02/2016;0.9;3.9796;1.0;632.114;1.29;0.52;1.45;693.34;1.19
03/2016;0.43;3.5589;1.16;635.349;0.51;0.79;0.44;696.424;0.58
04/2016;0.61;3.4508;1.06;637.434;0.33;0.41;0.29;698.462;0.39
05/2016;0.78;3.5951;1.11;642.651;0.82;0.19;0.98;705.311;0.65
06/2016;0.35;3.2098;1.16;653.496;1.69;1.52;2.21;720.875;0.33
07/2016;0.52;3.239;1.11;654.641;0.18;1.09;-0.01;720.819;0.29
08/2016;0.44;3.2403;1.22;655.602;0.15;0.26;0.04;721.104;0.4
09/2016;0.08;3.2462;1.11;656.894;0.2;0.37;0.18;722.424;0.16
10/2016;0.26;3.1811;1.05;657.927;0.16;0.17;0.15;723.496;0.17
11/2016;0.18;3.3967;1.04;657.752;-0.03;0.17;-0.16;722.33;0.26
12/2016;0.3;3.2591;1.12;661.304;0.54;0.36;0.69;727.325;0.2
01/2017;0.38;3.127;1.09;665.542;0.64;0.29;0.7;732.383;0.64
02/2017;0.33;3.0993;0.87;666.099;0.08;0.53;-0.09;731.691;0.39
03/2017;0.25;3.1684;1.05;666.197;0.01;0.36;-0.17;730.425;0.38
04/2017;0.14;3.1984;0.79;658.898;-1.1;-0.08;-1.77;717.493;0.33
05/2017;0.31;3.2437;0.93;652.758;-0.93;0.13;-1.56;706.335;0.29
06/2017;-0.23;3.3082;0.81;648.409;-0.67;1.36;-1.22;697.723;-0.08
07/2017;0.24;3.1307;0.8;643.766;-0.72;0.22;-1.16;689.617;0.04
08/2017;0.19;3.1471;0.8;644.383;0.1;0.4;-0.05;689.288;0.33
09/2017;0.16;3.168;0.64;647.4;0.47;0.14;0.74;694.397;-0.09
10/2017;0.42;3.2769;0.64;648.672;0.2;0.19;0.16;695.539;0.28
11/2017;0.28;3.2616;0.57;652.073;0.52;0.28;0.66;700.12;0.28
12/2017;0.44;3.308;0.54;657.859;0.89;0.14;1.24;708.797;0.3
01/2018;0.29;3.1624;0.58;662.826;0.76;0.28;0.91;715.235;0.56
02/2018;0.32;3.2449;0.47;663.311;0.07;0.14;-0.02;715.108;0.28
03/2018;0.09;3.3238;0.53;667.524;0.64;0.23;0.89;721.488;0.14
04/2018;0.22;3.4811;0.52;671.327;0.57;0.28;0.71;726.636;0.31
05/2018;0.4;3.737;0.52;680.579;1.38;0.3;1.97;740.981;0.26
06/2018;1.26;3.8558;0.52;693.287;1.87;0.76;2.33;758.269;1.09
07/2018;0.33;3.7549;0.54;696.8;0.51;0.72;0.5;762.046;0.44
08/2018;-0.09;4.1353;0.57;701.677;0.7;0.3;1.0;769.663;0.05
09/2018;0.48;4.0039;0.47;712.373;1.52;0.17;2.19;786.501;0.28
10/2018;0.45;3.7177;0.54;718.684;0.89;0.33;1.11;795.192;0.51
