Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;3696 - Taxa de câmbio - Livre - Dólar americano (venda) - Fim de período - mensal - u.m.c./US$;4390 - Taxa de juros - Selic acumulada no mês - % a.m.;Índice Geral de Preços - IGP-M(200045);IGP-M - Fechamento mensal (%)(1000367);INCC-M - Fechamento mensal (%)(1000370);IPA-M - Fechamento mensal (% mês)  (1478707);IPAEP-M Ipa - todos os itens - Nro. Índice(1473921);IPC/BR-M - Fechamento Mensal - % (POF 2017/2018). Vigência a partir de 01/2020(1448925)
05/2024;0.46;5.2416;0.83;1127.233;0.89;0.59;1.06;1328.633;0.44
06/2024;0.21;5.5589;0.79;1136.409;0.81;0.93;0.89;1340.519;0.46
07/2024;0.38;5.6621;0.91;1143.313;0.61;0.69;0.68;1349.622;0.3
08/2024;-0.02;5.6562;0.87;1146.575;0.29;0.64;0.29;1353.52;0.09
09/2024;0.44;5.4481;0.84;1153.718;0.62;0.61;0.7;1363.06;0.33
10/2024;0.56;5.7779;0.93;1171.272;1.52;0.67;1.94;1389.479;0.42
11/2024;0.39;6.0535;0.79;1186.462;1.3;0.44;1.74;1413.715;0.07
12/2024;0.52;6.1923;0.93;1197.562;0.94;0.51;1.21;1430.805;0.12
01/2025;0.16;5.8301;1.01;1200.775;0.27;0.71;0.24;1434.264;0.14
02/2025;1.31;5.8488;0.99;1213.514;1.06;0.51;1.17;1451.099;0.91
03/2025;0.56;5.7422;0.96;1209.432;-0.34;0.38;-0.73;1440.536;0.8
04/2025;0.43;5.6608;1.06;1212.296;0.24;0.59;0.13;1442.407;0.46
05/2025;0.26;5.7087;1.14;1206.378;-0.49;0.26;-0.82;1430.608;0.37
06/2025;0.24;5.4571;1.1;1186.259;-1.67;0.96;-2.53;1394.363;0.22
07/2025;0.26;5.6021;1.28;1177.168;-0.77;0.91;-1.29;1376.369;0.27
08/2025;-0.11;5.4264;1.16;1181.369;0.36;0.7;0.43;1382.225;-0.07
09/2025;0.48;5.3186;1.22;1186.283;0.42;0.21;0.49;1389.021;0.25
10/2025;0.09;5.3843;1.28;1182.005;-0.36;0.21;-0.59;1380.834;0.16
11/2025;0.18;5.3338;1.05;1185.175;0.27;0.28;0.27;1384.592;0.25
12/2025;0.33;5.5024;1.22;1184.998;-0.01;0.21;-0.12;1382.939;0.24
01/2026;0.33;5.2301;1.16;1189.82;0.41;0.63;0.34;1387.697;0.51
02/2026;0.7;5.1495;1.0;1181.152;-0.73;0.34;-1.18;1371.378;0.3
03/2026;0.88;5.2194;1.21;1187.302;0.52;0.36;0.61;1379.705;0.3
04/2026;0.67;4.9886;1.09;1219.678;2.73;1.04;3.49;1427.82;0.94
05/2026;0.58;5.0569;1.07;1229.904;0.84;0.77;0.91;1440.847;0.61
Fonte;IBGE;Sisbacen PTAX800;BCB-Demab;FGV;FGV;FGV;FGV;FGV;FGV
